task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
1	45/7dd864	87083	NFCORE_SAREK:PREPARE_INTERVALS:CREATE_INTERVALS_BED (genome.interval_list)	COMPLETED	0	2026-08-14 11:53:01.880	1.6s	0ms	89.8%	0	0	122.2 KB	1.1 KB
2	6b/2b207c	87077	NFCORE_SAREK:PREPARE_GENOME:BWAMEM1_INDEX (genome.fasta)	COMPLETED	0	2026-08-14 11:53:01.865	3s	270ms	78.7%	6.2 MB	538.1 MB	277 KB	110.6 KB
6	c5/f83dd2	87173	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_SPLIT (chr22_1-40001)	COMPLETED	0	2026-08-14 11:53:04.526	1.7s	527ms	83.8%	6.8 MB	538.3 MB	183.3 KB	2.1 KB
4	18/fb192e	87134	NFCORE_SAREK:SAREK:FASTQC (test-test_L1)	COMPLETED	0	2026-08-14 11:53:02.240	13.2s	12s	152.7%	522.5 MB	8.1 GB	43.2 MB	3.5 MB
5	11/2634ad	87211	NFCORE_SAREK:SAREK:FASTQC (test-test_L2)	COMPLETED	0	2026-08-14 11:53:06.243	12.2s	12s	167.6%	423.1 MB	8.2 GB	43 MB	3.5 MB
3	0a/5fa5fd	87078	NFCORE_SAREK:PREPARE_INTERVALS:GATK4_INTERVALLISTTOBED (genome)	COMPLETED	0	2026-08-14 11:53:01.873	17.6s	6.7s	147.1%	262.6 MB	14.7 GB	94.2 MB	702.8 KB
15	9a/ee3fc8	87351	NFCORE_SAREK:PREPARE_INTERVALS:TABIX_BGZIPTABIX_INTERVAL_COMBINED (genome)	COMPLETED	0	2026-08-14 11:53:20.438	1.3s	326ms	130.1%	6.2 MB	538.1 MB	183.2 KB	2.1 KB
10	cd/ec747b	87326	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (test-test_L1)	COMPLETED	0	2026-08-14 11:53:19.428	6.5s	5.8s	345.1%	631.5 MB	6 GB	175.3 MB	176.7 MB
12	fa/780df1	87386	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:FASTQ_ALIGN:BWAMEM1_MEM (test-test_L2)	COMPLETED	0	2026-08-14 11:53:25.970	7.4s	6.5s	341.8%	396.2 MB	2.3 GB	175.3 MB	176.7 MB
16	f8/ae3978	87425	NFCORE_SAREK:SAREK:FASTQ_PREPROCESS_GATK:BAM_MARKDUPLICATES:GATK4_MARKDUPLICATES (test)	COMPLETED	0	2026-08-14 11:53:33.592	22.5s	15.3s	174.0%	5.1 GB	17.7 GB	281.1 MB	117.7 MB
