#taskLabel	taskNamespace	runState	errorCode	runStateUpdateTime
getChromDepth_makeTmpDir		complete	0	2026-08-14T15:54:28.589922Z
getChromDepth_sample000_makeTmpDir		complete	0	2026-08-14T15:54:28.716774Z
getChromDepth_sample000_estimateChromDepth_000_chr22		complete	0	2026-08-14T15:54:28.899137Z
getChromDepth_sample000_catChromDepth		complete	0	2026-08-14T15:54:29.086735Z
getChromDepth_mergeChromDepth		complete	0	2026-08-14T15:54:29.273354Z
getChromDepth_removeTmpDir		complete	0	2026-08-14T15:54:29.410409Z
CallGenome		complete	0	2026-08-14T15:54:45.565419Z
makeTmpDir	CallGenome	complete	0	2026-08-14T15:54:29.410517Z
callGenomeSegment_chromId_000_chr22_0000	CallGenome	complete	0	2026-08-14T15:54:30.055940Z
compressGenomeSegment_chromId_000_chr22_0000_variants	CallGenome	complete	0	2026-08-14T15:54:30.233177Z
compressGenomeSegment_chromId_000_chr22_0000_gVCF_S1	CallGenome	complete	0	2026-08-14T15:54:30.233300Z
completedAllGenomeSegments	CallGenome	complete	0	2026-08-14T15:54:30.233365Z
variants_concat_vcf	CallGenome	complete	0	2026-08-14T15:54:30.368013Z
variants_index_vcf	CallGenome	complete	0	2026-08-14T15:54:30.494618Z
gVCF_S1_concat_vcf	CallGenome	complete	0	2026-08-14T15:54:30.368720Z
gVCF_S1_index_vcf	CallGenome	complete	0	2026-08-14T15:54:30.494756Z
addLegacyOutputLink	CallGenome	complete	0	2026-08-14T15:54:30.617683Z
mergeRunStats	CallGenome	complete	0	2026-08-14T15:54:30.368664Z
removeTmpDir	CallGenome	complete	0	2026-08-14T15:54:30.617809Z
