#taskLabel	taskNamespace	taskType	nCores	memMb	priority	isForceLocal	dependencies	cwd	command
getChromDepth_makeTmpDir		command	1	2048	0	1			mkdir -p /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/chromDepth.tsv.tmpdir
getChromDepth_sample000_makeTmpDir		command	1	2048	0	1	getChromDepth_makeTmpDir		mkdir -p /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir
getChromDepth_sample000_estimateChromDepth_000_chr22		command	1	2048	0	0	getChromDepth_sample000_makeTmpDir		/usr/local/share/strelka-2.9.10-1/libexec/GetChromDepth --ref /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/genome.fasta --align-file /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/test.recal.cram --output /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_000_chr22 --chrom chr22
getChromDepth_sample000_catChromDepth		command	1	2048	0	1	getChromDepth_sample000_estimateChromDepth_000_chr22		/usr/local/share/strelka-2.9.10-1/libexec/cat.py --output /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt.tmpdir/chromDepth.tsv.000.txt_000_chr22
getChromDepth_mergeChromDepth		command	1	2048	0	1	getChromDepth_sample000_catChromDepth		/usr/local/share/strelka-2.9.10-1/libexec/mergeChromDepth.py --out /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/chromDepth.tsv --in /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/chromDepth.tsv.tmpdir/chromDepth.tsv.000.txt
getChromDepth_removeTmpDir		command	1	2048	0	1	getChromDepth_mergeChromDepth		rm -rf /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/chromDepth.tsv.tmpdir
CallGenome		workflow	0	0	0	0	getChromDepth_mergeChromDepth		CallWorkflow
makeTmpDir	CallGenome	command	1	2048	0	1			mkdir -p /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/genomeSegment.tmpdir
callGenomeSegment_chromId_000_chr22_0000	CallGenome	command	1	1536	0	0	makeTmpDir		/usr/local/share/strelka-2.9.10-1/libexec/starling2 --region chr22:1-40001 --ref /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/genome.fasta --max-indel-size 49 --call-regions-bed /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/chr22_1-40001.bed.gz --min-mapping-quality 20 --gvcf-output-prefix /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/genomeSegment.tmpdir/segment.chromId_000_chr22_0000. --gvcf-min-gqx 15 --gvcf-min-homref-gqx 15 --gvcf-max-snv-strand-bias 10 --enable-read-backed-phasing --stats-file /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_chr22_0000.xml --snv-scoring-model-file /usr/local/share/strelka-2.9.10-1/share/config/germlineSNVScoringModels.json --indel-scoring-model-file /usr/local/share/strelka-2.9.10-1/share/config/germlineIndelScoringModels.json --align-file /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/test.recal.cram --chrom-depth-file /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/chromDepth.tsv --indel-error-models-file /usr/local/share/strelka-2.9.10-1/share/config/indelErrorModel.json --theta-file /usr/local/share/strelka-2.9.10-1/share/config/theta.json
compressGenomeSegment_chromId_000_chr22_0000_variants	CallGenome	command	1	1536	0	0	callGenomeSegment_chromId_000_chr22_0000		cat "/Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/genomeSegment.tmpdir/segment.chromId_000_chr22_0000.variants.vcf" | "/usr/local/bin/python" -E "/usr/local/share/strelka-2.9.10-1/libexec/vcfCmdlineSwapper.py" "/usr/local/bin/configureStrelkaGermlineWorkflow.py --bam test.recal.cram --referenceFasta genome.fasta --callRegions chr22_1-40001.bed.gz --runDir strelka" | "/usr/local/share/strelka-2.9.10-1/libexec/bgzip9" -c >| "/Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/genomeSegment.tmpdir/segment.chromId_000_chr22_0000.variants.vcf.gz"
compressGenomeSegment_chromId_000_chr22_0000_gVCF_S1	CallGenome	command	1	1536	0	0	callGenomeSegment_chromId_000_chr22_0000		cat "/Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/genomeSegment.tmpdir/segment.chromId_000_chr22_0000.genome.S1.vcf" | "/usr/local/bin/python" -E "/usr/local/share/strelka-2.9.10-1/libexec/vcfCmdlineSwapper.py" "/usr/local/bin/configureStrelkaGermlineWorkflow.py --bam test.recal.cram --referenceFasta genome.fasta --callRegions chr22_1-40001.bed.gz --runDir strelka" | "/usr/local/share/strelka-2.9.10-1/libexec/bgzip9" -c >| "/Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/genomeSegment.tmpdir/segment.chromId_000_chr22_0000.genome.S1.vcf.gz"
completedAllGenomeSegments	CallGenome	command	0	0	0	0	compressGenomeSegment_chromId_000_chr22_0000_variants,compressGenomeSegment_chromId_000_chr22_0000_gVCF_S1		
variants_concat_vcf	CallGenome	command	1	2048	0	1	completedAllGenomeSegments		mv /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/genomeSegment.tmpdir/segment.chromId_000_chr22_0000.variants.vcf.gz /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/results/variants/variants.vcf.gz
variants_index_vcf	CallGenome	command	1	2048	0	1	variants_concat_vcf		/usr/local/share/strelka-2.9.10-1/libexec/tabix -p vcf /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/results/variants/variants.vcf.gz
gVCF_S1_concat_vcf	CallGenome	command	1	2048	0	1	completedAllGenomeSegments		mv /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/genomeSegment.tmpdir/segment.chromId_000_chr22_0000.genome.S1.vcf.gz /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/results/variants/genome.S1.vcf.gz
gVCF_S1_index_vcf	CallGenome	command	1	2048	0	1	gVCF_S1_concat_vcf		/usr/local/share/strelka-2.9.10-1/libexec/tabix -p vcf /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/results/variants/genome.S1.vcf.gz
addLegacyOutputLink	CallGenome	command	1	2048	0	1	gVCF_S1_index_vcf	/Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/results/variants	ln -s "genome.S1.vcf.gz" "genome.vcf.gz" && ln -s "genome.S1.vcf.gz.tbi" "genome.vcf.gz.tbi"
mergeRunStats	CallGenome	command	1	2048	0	1	completedAllGenomeSegments		/usr/local/share/strelka-2.9.10-1/libexec/MergeRunStats --stats-file /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/genomeSegment.tmpdir/runStats.chromId_000_chr22_0000.xml --output-file /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/results/stats/runStats.xml --report-file /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/results/stats/runStats.tsv
removeTmpDir	CallGenome	command	1	2048	0	1	variants_index_vcf,mergeRunStats,gVCF_S1_index_vcf		rm -rf /Users/stav/repos/nf-tui/work/b6/8f45fc172292ff298e2122c75a6849/strelka/workspace/genomeSegment.tmpdir
